"Data Source","World Development Indicators",

"Last Updated Date","2023-09-19",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022",
"Armenia","ARM","Current health expenditure (% of GDP)","SH.XPD.CHEX.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4.19581175","4.64563894","7.61358786","7.17936182","6.05510139","5.8618803","5.85007095","5.49814034","6.63976622","8.44377708","9.23538303","9.37588882","9.13455009","10.32345009","10.17827892","10.11762714","9.95195866","10.36270523","10.00543404","11.3798008","12.24103546","","",
"American Samoa","ASM","Current health expenditure (% of GDP)","SH.XPD.CHEX.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Antigua and Barbuda","ATG","Current health expenditure (% of GDP)","SH.XPD.CHEX.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4.71542597","5.43839121","5.28793621","5.58143282","5.11667967","4.99094057","4.63050652","4.44609547","4.20027018","4.17732763","5.37907028","5.44257212","5.47921467","5.50909233","5.87269926","5.27965546","5.12190151","4.87493944","4.84869289","4.37567186","5.61472893","","",
"Australia","AUS","Current health expenditure (% of GDP)","SH.XPD.CHEX.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","7.59961653","7.68272257","7.87807608","7.88292599","8.09003353","7.97402954","7.98143196","8.05890179","8.25374031","8.55233955","8.42325497","8.53956795","8.67481709","8.75082779","9.84760189","10.18361282","10.09023094","10.1257143","10.07391548","10.22989082","10.6489954","","",
"Austria","AUT","Current health expenditure (% of GDP)","SH.XPD.CHEX.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","9.20371342","9.26942921","9.3947649","9.5472393","9.70939922","9.62702942","9.5311327","9.53209686","9.72564602","10.22582531","10.22101879","10.02613258","10.19915581","10.28574848","10.36809158","10.36746693","10.3522625","10.38402557","10.34483242","10.47507858","11.47426033","12.17357063","",
"Azerbaijan","AZE","Current health expenditure (% of GDP)","SH.XPD.CHEX.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2.94891715","2.75582409","2.73276305","2.73488688","2.6652894","2.26107669","2.06678391","1.99021435","1.9388088","2.6137836","2.48996639","2.44641805","2.96481562","3.03672314","3.37713742","4.10663605","4.03655434","3.73651457","3.55621028","4.0731144","4.60676527","","",
"Burundi","BDI","Current health expenditure (% of GDP)","SH.XPD.CHEX.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","6.17697191","6.40484381","6.47216082","6.31327677","7.70102644","8.42368603","9.94232273","10.5808115","9.23542786","10.35023308","11.27638912","10.06996346","8.52668476","8.53728485","7.21081543","6.29022646","7.17137861","7.28069401","7.39932251","6.53989458","6.50141716","","",
"Belgium","BEL","Current health expenditure (% of GDP)","SH.XPD.CHEX.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","7.99917603","8.14988899","8.3182106","9.16443539","9.32808685","9.22374916","9.12963009","9.13628769","9.5951395","10.32117939","10.2022934","10.36337948","10.4796896","10.54895115","10.57526302","10.77388","10.76264191","10.75165462","10.78789711","10.6635952","11.06453228","","",
"Benin","BEN","Current health expenditure (% of GDP)","SH.XPD.CHEX.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3.1027081","3.24909639","3.04335308","3.03765345","3.07606173","2.93478227","2.97331023","2.89382267","2.69675088","2.8252821","2.99710202","3.09628081","3.41449809","2.85861254","2.66743708","2.67942166","2.47028542","2.60406828","2.48485804","2.32052207","2.5893681","","",
"Burkina Faso","BFA","Current health expenditure (% of GDP)","SH.XPD.CHEX.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2.9502635","2.88835382","2.97113013","3.14307284","4.21720934","3.95109582","4.51446247","5.23373222","4.64780712","5.08159161","5.23958349","4.64868164","4.60267258","5.56331587","5.00027227","5.13192415","5.95461321","6.05631208","4.95254326","5.38121271","6.71932602","","",
"Bangladesh","BGD","Current health expenditure (% of GDP)","SH.XPD.CHEX.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2.11065245","2.10228109","2.29728079","2.3469069","2.37531114","2.44882679","2.52336478","2.60268927","2.53812432","2.61530614","2.74091864","2.83208537","2.81963444","2.75010324","2.7302258","2.72187114","2.86227322","2.78472567","2.71634603","2.620749","2.6280098","","",
"Bulgaria","BGR","Current health expenditure (% of GDP)","SH.XPD.CHEX.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5.82970953","6.85958815","7.0809865","7.19987392","6.89090872","6.89011478","6.52544546","6.16035938","6.28771019","6.59577608","7.09571743","7.1026721","7.53875399","7.1426816","7.68282461","7.3912921","7.45653582","7.49168301","7.32867956","7.08924437","8.52063847","","",
"Bahrain","BHR","Current health expenditure (% of GDP)","SH.XPD.CHEX.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3.33542562","3.48573017","3.67866111","3.88658071","3.49817729","3.25870824","3.10821271","3.29534078","3.2038722","4.32666922","4.08934975","3.8651762","4.10642147","4.30853891","4.41240263","4.97671938","4.86051178","4.51235688","4.12745647","3.95980344","4.72300106","","",
"Bahamas, The","BHS","Current health expenditure (% of GDP)","SH.XPD.CHEX.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3.80487037","3.92440891","3.81251931","4.01998568","4.04628181","4.03196478","4.30935764","4.4965229","4.86301756","5.15061378","5.256392","5.32458639","5.31605101","5.62718821","5.55243731","5.14505529","5.58737278","6.67579222","6.01182079","5.90402126","7.59363365","","",
"Bosnia and Herzegovina","BIH","Current health expenditure (% of GDP)","SH.XPD.CHEX.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","7.99843025","7.60725927","7.42553377","8.30536652","9.06270218","9.05223751","9.17218685","9.5306015","9.68943882","9.02212143","9.01888275","9.17856026","9.49001503","9.44886494","9.49011135","9.35174561","9.24976635","8.93797779","8.89146042","9.04909897","9.8411274","","",
"Belarus","BLR","Current health expenditure (% of GDP)","SH.XPD.CHEX.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5.2760601","5.70827103","5.62329483","5.76984167","5.73709631","6.07036781","5.57381344","5.69203281","5.29415369","5.39037848","5.65694046","4.87438536","5.24532652","5.69559479","5.38793325","6.06533289","5.91054153","5.75974846","5.52699471","5.86133814","6.40607214","","",
"Belize","BLZ","Current health expenditure (% of GDP)","SH.XPD.CHEX.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3.94477701","4.61388969","4.6827364","4.58048201","4.45052433","4.45325851","4.55476046","5.27267647","5.66974115","5.76006603","5.63032866","5.69136333","5.43051958","5.63784933","6.1609683","5.891294","6.06179619","5.74651003","5.80132008","6.07060003","6.92425728","","",
"Bermuda","BMU","Current health expenditure (% of GDP)","SH.XPD.CHEX.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Bolivia","BOL","Current health expenditure (% of GDP)","SH.XPD.CHEX.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4.39554119","4.82522202","4.89645052","5.19709635","4.86315727","5.07408142","4.66087532","4.6968894","4.60677242","5.17444515","5.20230532","5.17306805","5.2539444","5.57465124","5.89613628","6.55064964","6.83333063","6.4901948","6.60399437","6.88792992","7.857059","","",
"Brazil","BRA","Current health expenditure (% of GDP)","SH.XPD.CHEX.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","8.33457184","8.54963303","8.69686985","8.18899441","8.12491989","8.03539562","8.24952507","8.20182991","8.01128483","8.39480495","7.94516611","7.78819132","7.73637581","7.9766016","8.39644337","8.90930176","9.16901493","9.47125053","9.46474838","9.61449146","10.31291676","","",
"Barbados","BRB","Current health expenditure (% of GDP)","SH.XPD.CHEX.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5.33187246","5.52529192","5.86123466","6.68377304","7.31510305","6.76892185","6.58324289","6.05583191","6.47676325","7.1486845","6.77398682","6.8993392","7.77819967","7.49560881","6.99789667","6.7748456","6.68155146","6.62216997","6.56259108","6.1940732","7.20014429","","",
"Brunei Darussalam","BRN","Current health expenditure (% of GDP)","SH.XPD.CHEX.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2.55124474","2.54995036","2.53798175","2.60610557","2.5552268","2.23678851","1.91712439","1.96159494","1.87878013","2.38892293","2.27826095","1.86409724","1.85097206","1.898314","1.91436803","2.38708901","2.54828691","2.27036428","2.41289377","2.19410944","2.39377809","","",
"Bhutan","BTN","Current health expenditure (% of GDP)","SH.XPD.CHEX.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4.44684267","5.0041995","4.59563637","4.1293807","4.59777308","4.13416338","4.4061017","4.1298461","3.38117099","3.5476253","3.55879498","3.34921789","3.61913681","3.70787191","3.55791116","3.75701189","3.57613945","3.3407371","3.2427721","3.60361075","4.37174511","","",
"Botswana","BWA","Current health expenditure (% of GDP)","SH.XPD.CHEX.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5.93539572","6.18953037","6.47326517","6.21158695","5.88532591","5.06940031","4.87897778","5.52080727","5.89747286","6.62081194","6.26718187","5.86915016","6.35010576","6.49913645","5.8804059","6.10287762","5.76837635","6.62986994","6.04010248","6.12193108","6.18664551","","",
"Central African Republic","CAF","Current health expenditure (% of GDP)","SH.XPD.CHEX.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4.27478504","3.95594192","4.22761345","4.39720297","4.30442286","4.36732149","4.44105434","4.71851492","4.08699083","4.81901121","3.56699872","3.67561865","3.91814446","4.76660204","4.56557369","5.03434181","5.44402313","6.66541576","10.99695206","7.82838726","9.40206814","","",
"Canada","CAN","Current health expenditure (% of GDP)","SH.XPD.CHEX.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","8.24814415","8.62482357","8.85670471","9.01090145","9.06628132","9.03540611","9.34210205","9.44540119","9.60754967","10.71909046","10.70161057","10.40782261","10.51472855","10.41469765","10.25806713","10.74362469","11.03318405","10.86184978","10.84608173","10.95021915","12.93967533","11.67882252","",
"Central Europe and the Baltics","CEB","Current health expenditure (% of GDP)","SH.XPD.CHEX.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5.70182197678915","5.90245424977782","6.15192071811992","6.38661451737811","6.34883395503922","6.35459773772761","6.2130509096101","6.1256455452458","6.36819391654127","6.83790052491031","6.7762421386613","6.50972020937032","6.52740425742139","6.67382751397831","6.57869598747888","6.49616407292007","6.59748405706425","6.59331576682957","6.56680667596967","6.66832983078865","7.28881777250489","","",
"Switzerland","CHE","Current health expenditure (% of GDP)","SH.XPD.CHEX.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","9.11401939","9.43919373","9.85215092","10.10937691","10.1849556","10.004179","9.53341675","9.36357594","9.48092842","10.06906986","9.94159698","10.0191288","10.24875641","10.46214485","10.6164217","11.00794983","11.30005455","11.48099899","11.38538456","11.28695965","11.79635048","","",
"Channel Islands","CHI","Current health expenditure (% of GDP)","SH.XPD.CHEX.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Chile","CHL","Current health expenditure (% of GDP)","SH.XPD.CHEX.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","7.03517675","7.15104151","7.26602364","7.33330393","6.90114975","6.58871555","6.03516722","6.17537546","6.74047947","7.20918465","6.77489376","6.7717886","7.02092028","7.44478321","7.80729866","8.30269146","8.51866722","9.06854153","9.15850353","9.33272266","9.75300503","9.09627819","",
"China","CHN","Current health expenditure (% of GDP)","SH.XPD.CHEX.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4.50828123","4.25330067","4.38285255","4.41762781","4.29347467","4.17605019","3.94742203","3.67491412","3.900002","4.34958458","4.23068333","4.34274387","4.56584787","4.71490669","4.77790594","4.93827963","4.97955608","5.06592178","5.16790485","5.3502779","5.59359694","","",
"Cote d'Ivoire","CIV","Current health expenditure (% of GDP)","SH.XPD.CHEX.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","6.1268425","6.01772738","5.90390921","5.47976875","5.47521019","5.0064311","4.76330423","4.5525341","4.56873274","4.46970224","4.41580915","4.39704227","4.42740679","3.71776772","3.73104811","3.21990895","3.35172248","3.3050983","3.1189115","3.28960407","3.72245775","","",
"Cameroon","CMR","Current health expenditure (% of GDP)","SH.XPD.CHEX.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4.11237431","3.88486743","4.02669907","3.90228009","3.72798967","3.77274442","3.73662806","3.70858574","3.65843678","3.49997187","3.57742167","3.85282946","3.9310236","3.63111043","3.78765464","3.59505081","3.5937767","3.39752436","3.61970162","3.65157914","3.76582599","","",
"Congo, Dem. Rep.","COD","Current health expenditure (% of GDP)","SH.XPD.CHEX.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1.55059242","2.70775485","2.65477443","3.81817842","4.42028666","4.25265837","4.39380932","4.33555269","4.98871994","4.54615927","3.86035633","3.26267266","3.30099463","3.56663275","3.97874069","3.96921396","4.36603069","4.15646601","3.30249262","3.54229975","4.05092573","","",
"Congo, Rep.","COG","Current health expenditure (% of GDP)","SH.XPD.CHEX.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1.50500846","2.18529987","1.70167828","1.91852403","1.92152369","1.71774101","1.70861316","1.90200174","2.2392714","2.1422224","1.85172856","1.75237322","1.90971065","1.94347155","1.97311735","2.45668483","2.79067326","2.51812935","1.90143239","2.56553078","4.46762228","","",
"Colombia","COL","Current health expenditure (% of GDP)","SH.XPD.CHEX.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5.63529348","5.94238234","5.73295689","5.77505875","5.79892778","6.06709862","6.33551502","6.49102831","6.84192705","7.31134653","7.07130098","6.78076839","6.74599648","7.01724052","7.18553209","7.52338505","7.53117037","7.67864323","7.62541389","8.1165638","8.99294186","","",
"Comoros","COM","Current health expenditure (% of GDP)","SH.XPD.CHEX.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","7.51536942","6.65322924","6.68114853","6.65392351","6.58027744","6.12521315","5.77074099","5.41753864","5.06897497","4.92694378","4.99181557","5.3021183","5.17354631","5.10299349","5.23849726","4.60089922","4.65263557","5.26807451","4.90318584","5.18044472","5.34622765","","",
"Cabo Verde","CPV","Current health expenditure (% of GDP)","SH.XPD.CHEX.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4.43401194","4.75244379","4.7555151","4.50008631","4.37710667","4.27364111","4.48974991","4.18900156","3.58312893","3.88152432","4.47555733","4.30527449","5.13365459","5.28994226","5.32722235","4.82334137","4.84606647","5.2683692","5.18630934","5.06559896","6.01976061","","",
"Costa Rica","CRI","Current health expenditure (% of GDP)","SH.XPD.CHEX.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","6.56498671","6.47409916","6.86908817","6.9691925","6.63006067","6.6642971","6.93530846","6.99642611","7.46854782","7.86019135","8.02937698","8.12197685","7.78642273","7.68229294","7.66376162","7.59196186","7.31724358","7.04522991","7.28587723","7.2212491","7.855371","","",
"Caribbean small states","CSS","Current health expenditure (% of GDP)","SH.XPD.CHEX.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4.67261275153754","4.51329205825896","4.63039500235794","4.45849244431718","4.67788277857355","4.6111808865459","4.50988620243134","4.73692130547765","4.62109653443388","5.34372719532887","5.21498175833085","5.07394039716946","5.05826682968824","5.17309673489893","5.24704274789791","5.62388529385523","5.96576867499626","6.16380345996713","6.08262395034339","6.18840499798354","6.86956185851411","","",
"Cuba","CUB","Current health expenditure (% of GDP)","SH.XPD.CHEX.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","6.58189821","6.9820981","7.11481619","7.10295439","6.83178711","8.75525475","8.2719059","10.9674921","11.31422806","12.29053974","10.6880827","11.31298637","9.29940987","10.43099499","12.1412344","12.81401348","12.2177515","11.47197342","11.0184288","11.08496857","12.48644733","","",
"Curacao","CUW","Current health expenditure (% of GDP)","SH.XPD.CHEX.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Cayman Islands","CYM","Current health expenditure (% of GDP)","SH.XPD.CHEX.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Cyprus","CYP","Current health expenditure (% of GDP)","SH.XPD.CHEX.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5.30800056","5.33940458","5.61565971","5.63568783","5.40558147","5.43580961","5.46357489","5.35744858","6.01427698","6.46531534","6.51767111","6.44928551","6.55474567","6.94518471","6.95228958","6.81669092","6.68224382","6.64387274","6.84573793","6.94943047","8.0934782","","",
"Czechia","CZE","Current health expenditure (% of GDP)","SH.XPD.CHEX.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5.70103025","5.86295414","6.17736149","6.52412462","6.35071039","6.34086704","6.16380167","5.98578405","6.33024931","7.24880648","6.87530422","6.92782736","6.97858715","7.7224946","7.59677219","7.19641495","7.10654974","7.38071537","7.47199488","7.60487127","9.24007225","","",
"Germany","DEU","Current health expenditure (% of GDP)","SH.XPD.CHEX.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","9.8881979","9.92069149","10.18365669","10.40202236","10.14603233","10.31153965","10.17995167","10.05132961","10.25128746","11.23791218","11.09592915","10.77848625","10.85349178","10.99848843","11.02219391","11.18386841","11.23263836","11.32420826","11.45727539","11.69622993","12.82248878","12.80539513","",
"Djibouti","DJI","Current health expenditure (% of GDP)","SH.XPD.CHEX.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2.93908072","2.8072207","3.58787632","3.9768579","3.32442927","3.22467232","3.48426819","3.41498613","3.19098687","3.21451879","3.06150365","3.37656426","3.299927","2.92013574","2.96522927","3.07556486","2.72740245","2.46476936","2.26254511","2.01711535","2.00786304","","",
"Dominica","DMA","Current health expenditure (% of GDP)","SH.XPD.CHEX.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5.32374382","4.64501858","4.6531105","4.84617901","4.74520159","4.97772503","4.78092194","4.79109955","5.04968786","4.98329306","5.15711927","5.33450365","5.79509926","5.34749842","5.26141691","5.15941811","5.12308073","5.27874804","6.0794425","5.13174009","5.64582825","","",
"Denmark","DNK","Current health expenditure (% of GDP)","SH.XPD.CHEX.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","8.10438347","8.44832516","8.70251179","8.9036293","9.00743198","9.0905695","9.16879559","9.3251543","9.51134396","10.67432022","10.60774708","10.40702915","10.5219717","10.32915878","10.30918217","10.34411812","10.25162029","10.09825516","10.09764194","10.12139606","10.52817535","10.84632206","",
"Dominican Republic","DOM","Current health expenditure (% of GDP)","SH.XPD.CHEX.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4.88427496","4.88183308","4.98649025","4.38888264","4.2877388","4.35391188","3.99365425","4.08935308","4.56146193","4.76337624","4.92355442","5.03797865","5.04897833","4.91598225","4.79757166","4.72216797","4.5766325","4.49336958","4.12601566","4.23948717","4.94000483","","",
"Algeria","DZA","Current health expenditure (% of GDP)","SH.XPD.CHEX.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3.48903275","3.83787704","3.7300415","3.60104108","3.5440731","3.23516107","3.35510349","3.82141757","4.20188284","5.35939837","5.11716986","5.26748085","6.00050974","6.03576279","6.54721403","6.97849178","6.60749817","6.27938414","6.16302586","6.25170851","6.32117987","","",
"East Asia & Pacific (excluding high income)","EAP","Current health expenditure (% of GDP)","SH.XPD.CHEX.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3.95238278694029","3.84976420113806","3.91268859418109","3.98000088884117","3.88804770236091","3.87816256734627","3.72709495865037","3.55444022683711","3.72518221520919","4.12409025657572","4.01624475919961","4.13717763420744","4.33754080060508","4.48108080835173","4.55554911411804","4.71544760004814","4.74722310790772","4.81349419049903","4.91787177985919","5.07095147513654","5.36063026961974","","",
"Early-demographic dividend","EAR","Current health expenditure (% of GDP)","SH.XPD.CHEX.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4.83222884436665","5.06792911044464","4.81031857309128","4.91563757752142","4.86858294082603","4.82466502170495","4.8277987010689","4.80958441324671","4.74000552430558","5.11860490736046","4.90009725230002","4.8952543439017","4.96580717620386","5.0213868896508","5.02782765801903","5.14845263753081","5.02701319933701","4.92486243339431","4.68774789290485","4.57012025847746","4.84420526119303","","",
"East Asia & Pacific","EAS","Current health expenditure (% of GDP)","SH.XPD.CHEX.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","6.10826199191752","6.14325467431515","6.11477825134609","6.21052159475469","6.18504860300951","6.13797975046574","5.94556564264794","5.74453144576337","5.90006947133666","6.39835358875378","6.27576942269651","6.70126729789873","6.76343280686768","6.53031921998752","6.51930169976175","6.50305814239014","6.5795131476554","6.54106881269645","6.56237485432343","6.68858146128277","6.93951605200196","","",
